typeURI;assetId.identificator;assetId.toegekendDoor;besturingsconnector;bron.typeURI;bronAssetId.identificator;bronAssetId.toegekendDoor;datumOprichtingObject;doel.typeURI;doelAssetId.identificator;doelAssetId.toegekendDoor;heeftAansluitkastGeintegreerd;heeftAntiVandalisme;isActief;isFaunavriendelijk;kleurArmatuur;kleurTemperatuur;lichtkleur;lichtpuntHoogte;lumenOutput;merk;modelnaam;naam;notitie;protector;systeemvermogen;theoretischeLevensduur;toestand;geometry
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;1734383b-03c5-4648-92d3-c8c127887c5b-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;NEMA;;;;2023-10-27;;;;false;false;true;false;ral-7038;3000;wit;12-5;15000;Schreder;izylum-3;G0528.307.WV1;;vlak-glas;106.0;285.0;in-gebruik;POINT Z (204432.44 195837.13 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;186f053e-c609-422f-baa5-c942999e1614-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;d9dbb7aa-4186-4136-9d9c-ac11e1ac1986-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;e9f9b5bb-5ac3-46c8-b838-65f55ad584d7-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;18925cb0-1d07-4b87-8f42-1fe278e130f0-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#WVLichtmast;943cf092-d10f-4945-9a26-e92a54d631f8-b25kZXJkZWVsI1dWTGljaHRtYXN0;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;cdca81a5-671f-4994-8ebb-d5b14bd35e1a-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;1939e762-961d-43d1-bf40-36f99af9036b-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;NEMA;;;;2023-10-27;;;;false;false;true;false;ral-7038;3000;wit;12-5;15000;Schreder;izylum-3;G0528.352.WV1;;vlak-glas;106.0;285.0;in-gebruik;POINT Z (204543.29 196063.17 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;1a23e642-bcdb-40ec-8649-430823140e4a-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;b01c193e-d5ae-4a27-9cd0-9e6910060682-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#LEDDriver;1895d069-872f-40bc-9b33-4981f6d3bf44-b25kZXJkZWVsI0xFRERyaXZlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;1a7ae25f-3cdd-4465-9fae-ebd40875db6e-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;fc1fe30d-bb63-4e32-8bf9-47f0d073420d-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#LEDDriver;e0c12eb6-f91e-4c8c-8be5-b2d254467c2e-b25kZXJkZWVsI0xFRERyaXZlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;1b040205-e988-4318-9040-52de66b49f64-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;7cc5c0a4-77d2-4c7b-a94e-0a6ac0460211-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;9f6390cc-e230-496c-9a54-6e944bbbceae-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;1b7a9db4-c6f8-42bc-9706-7d2f8706c335-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;1f1e8b1b-8fc5-4aad-b036-1dc883a78c27-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;2d273eaf-bb56-49b9-83c6-9f9c4cd54e61-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;1ba9a429-df6e-48a2-a39c-43c145f5e4d1-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;NEMA;;;;2023-10-27;;;;false;false;true;false;ral-7038;3000;wit;12-5;15000;Schreder;izylum-3;G0528.312.WV1;;vlak-glas;106.0;285.0;in-gebruik;POINT Z (204562.39 195732.59 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;1effeb5f-6f7e-469a-8f39-2388dcd29cd7-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;2cfa2df2-4317-48f6-9b51-4d64acfc40ff-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;38443602-e52a-4253-b606-4b203a003c0b-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;1f1e8b1b-8fc5-4aad-b036-1dc883a78c27-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;NEMA;;;;2023-10-27;;;;false;false;true;false;ral-7038;3000;wit;12-5;15000;Schreder;izylum-3;G0528.325.WV1;;vlak-glas;106.0;285.0;in-gebruik;POINT Z (204509.69 195792.58 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;21a2acd7-cd14-4688-afcb-3ec152a40775-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;NEMA;;;;2023-10-27;;;;false;false;true;false;ral-7038;3000;wit;12-5;15000;Schreder;izylum-3;G0528.348.WV1;;vlak-glas;106.0;285.0;in-gebruik;POINT Z (204595.84 196003.41 0)
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;21adbede-6985-40db-a7bc-948361006b73-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#WVLichtmast;e043fefd-d778-4882-85d6-23fabc1a0d3f-b25kZXJkZWVsI1dWTGljaHRtYXN0;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;4cd0c3a1-0512-4fb3-8017-c25482403092-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;28099b41-59be-4061-bd7c-2f5773a2f06c-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;b15fbfa2-ce6b-4735-b7e5-ebcf783a98b1-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;7f36de38-b553-413e-86b4-05251fc81937-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;28dcc73b-7d17-4cb1-a291-3e0d56d1d978-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;eadcecef-7183-4fdb-be35-c7895177b788-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Armatuurcontroller;918c0096-15f3-42f9-a47e-460067d22f5b-b25kZXJkZWVsI0FybWF0dXVyY29udHJvbGxlcg;AWV;;;true;;;;;;;;;;;;;;;
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Bevestiging;29a60e87-ecb7-48fd-bc23-2ad01ab25c3c-b25kZXJkZWVsI0JldmVzdGlnaW5n;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#WVLichtmast;2e34dfa1-bbec-4817-aec5-49a0e0160c4b-b25kZXJkZWVsI1dWTGljaHRtYXN0;AWV;;https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#VerlichtingstoestelLED;138b0013-c0da-444f-aa27-f0855d3630fa-b25kZXJkZWVsI1ZlcmxpY2h0aW5nc3RvZXN0ZWxMRUQ;AWV;;;true;;;;;;;;;;;;;;;
